Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Up,1,7.444624,21.61586,0.1643245,-2.861223,-2.025357,-0.7160051,0.166689
Up,1,7.472534,21.83008,0.1823843,-2.897932,-2.064312,-0.7298098,0.1631294
Up,1,7.502287,21.99415,0.165511,-3.033769,-2.106915,-0.7436213,0.1607126
Up,1,7.533372,22.19688,0.1467098,-3.164773,-2.148219,-0.7576976,0.1619255
Up,1,7.569446,22.41837,0.165511,-3.247572,-2.190888,-0.774302,0.1619255
Up,1,7.598138,22.65105,0.1887116,-3.309083,-2.23432,-0.7890712,0.1619255
Up,1,7.626714,22.88295,0.2264194,-3.296397,-2.284648,-0.8028382,0.1582588
Up,1,7.655518,23.15757,0.2609472,-3.380377,-2.329442,-0.8146936,0.1570175
Up,1,7.694825,23.46093,0.301316,-3.46515,-2.371741,-0.8259051,0.1532334
Up,1,7.729657,23.72124,0.3454843,-3.502187,-2.418323,-0.8420942,0.1519511
Up,1,7.773547,23.9584,0.3663747,-3.603805,-2.456626,-0.8613922,0.1519511
Up,1,7.80751,24.2566,0.3901695,-3.667356,-2.50374,-0.8804895,0.1519511
Up,1,7.835758,24.5568,0.4201138,-3.69544,-2.550215,-0.8987461,0.1519511
Up,1,7.875457,24.89799,0.4502396,-3.726098,-2.594953,-0.9140738,0.1532334
Up,1,7.903579,25.21752,0.4693892,-3.755202,-2.638785,-0.926618,0.1545051
Up,1,7.931654,25.494,0.4841639,-3.78579,-2.679857,-0.9358636,0.1532334
Up,1,7.959912,26.16461,0.4558544,-3.796121,-2.723689,-0.9387863,0.1545051
Up,1,7.987764,27.04589,0.4116447,-3.798596,-2.763005,-0.9421154,0.1557664
Up,1,8.017056,27.8213,0.3763854,-3.797307,-2.800231,-0.9437756,0.1570175
Up,1,8.056822,28.47724,0.3460502,-3.80668,-2.843173,-0.9416999,0.1582588
Up,1,8.085278,29.00227,0.3208161,-3.816904,-2.87249,-0.9419076,0.1594904
Up,1,8.114317,29.44784,0.2987072,-3.827355,-2.900431,-0.9425307,0.1619255
Up,1,8.153549,29.81064,0.2776587,-3.843896,-2.938849,-0.9454328,0.1631294
Up,1,8.181648,30.10623,0.2601963,-3.864573,-2.978613,-0.949151,0.1619255
Up,1,8.210142,30.36487,0.2430897,-3.894003,-3.015062,-0.9526493,0.1619255
Up,1,8.239062,30.60043,0.2272819,-3.92366,-3.046775,-0.9565441,0.1619255
Up,1,8.267447,30.82814,0.220287,-3.959877,-3.075999,-0.9642863,0.1643245
Up,1,8.30682,31.10805,0.2272819,-4.009806,-3.11728,-0.9743798,0.166689
Up,1,8.335544,31.388,0.23239,-4.051541,-3.162731,-0.9873473,0.1678588
Up,1,8.363439,31.6625,0.2289973,-4.089452,-3.206989,-1.001711,0.1701742
